단위:십억원/전년동기비 %,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
국내총생산(명목GDP),2797,3438,4268,5527,7905,10544,14473,18608,25155,32402,39725,49670,57287,68080,78591,88130,102986,121698,145995,165802,200556,242481,277541,315181,372493,436989,490851,542002,537215,591453,651634,707021,784741,837365,908439,957448,1005602,1089660,1154217,1205348,1322611,1388937,1440111,1500819,1562929,1658020,1740780,1835698,1898193,1919040,1898193
경제성장률(실질GDP성장률),10.1,10.5,7.2,14.9,9.5,7.8,13.2,12.3,11,8.7,-1.6,7.2,8.3,13.4,10.6,7.8,11.3,12.7,12,7.1,9.9,10.8,6.2,6.9,9.3,9.6,7.9,6.2,-5.1,11.5,9.1,4.9,7.7,3.1,5.2,4.3,5.3,5.8,3,0.8,6.8,3.7,2.4,3.2,3.2,2.8,2.9,3.2,2.9,2,-1
